0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111,0.11111
0.11998,0.10834,0.10834,0.10834,0.11498,0.10834,0.10834,0.10834,0.11498,0.11998,0.10834,0.10834,0.10834,0.11498,0.10834,0.10834,0.10834,0.11498,0.11998,0.10834,0.10834,0.10834,0.11498,0.10834,0.10834,0.10834,0.11498,0.11334,0.11498,0.10834,0.10834,0.10834,0.11498,0.11498,0.10834,0.10834
0.1288,0.1056,0.1056,0.1056,0.1188,0.1056,0.1056,0.1056,0.1188,0.1288,0.1056,0.1056,0.1056,0.1188,0.1056,0.1056,0.1056,0.1188,0.1288,0.1056,0.1056,0.1056,0.1188,0.1056,0.1056,0.1056,0.1188,0.1156,0.1188,0.1056,0.1056,0.1056,0.1188,0.1188,0.1056,0.1056
0.13758,0.10288,0.10288,0.10288,0.12258,0.10288,0.10288,0.10288,0.12258,0.13758,0.10288,0.10288,0.10288,0.12258,0.10288,0.10288,0.10288,0.12258,0.13758,0.10288,0.10288,0.10288,0.12258,0.10288,0.10288,0.10288,0.12258,0.11788,0.12258,0.10288,0.10288,0.10288,0.12258,0.12258,0.10288,0.10288
0.14631,0.10018,0.10018,0.10018,0.12631,0.10018,0.10018,0.10018,0.12631,0.14631,0.10018,0.10018,0.10018,0.12631,0.10018,0.10018,0.10018,0.12631,0.14631,0.10018,0.10018,0.10018,0.12631,0.10018,0.10018,0.10018,0.12631,0.12018,0.12631,0.10018,0.10018,0.10018,0.12631,0.12631,0.10018,0.10018
0.155,0.0975,0.0975,0.0975,0.13,0.0975,0.0975,0.0975,0.13,0.155,0.0975,0.0975,0.0975,0.13,0.0975,0.0975,0.0975,0.13,0.155,0.0975,0.0975,0.0975,0.13,0.0975,0.0975,0.0975,0.13,0.1225,0.13,0.0975,0.0975,0.0975,0.13,0.13,0.0975,0.0975
0.16364,0.094844,0.094844,0.094844,0.13364,0.094844,0.094844,0.094844,0.13364,0.16364,0.094844,0.094844,0.094844,0.13364,0.094844,0.094844,0.094844,0.13364,0.16364,0.094844,0.094844,0.094844,0.13364,0.094844,0.094844,0.094844,0.13364,0.12484,0.13364,0.094844,0.094844,0.094844,0.13364,0.13364,0.094844,0.094844
0.17224,0.092211,0.092211,0.092211,0.13724,0.092211,0.092211,0.092211,0.13724,0.17224,0.092211,0.092211,0.092211,0.13724,0.092211,0.092211,0.092211,0.13724,0.17224,0.092211,0.092211,0.092211,0.13724,0.092211,0.092211,0.092211,0.13724,0.12721,0.13724,0.092211,0.092211,0.092211,0.13724,0.13724,0.092211,0.092211
0.1808,0.0896,0.0896,0.0896,0.1408,0.0896,0.0896,0.0896,0.1408,0.1808,0.0896,0.0896,0.0896,0.1408,0.0896,0.0896,0.0896,0.1408,0.1808,0.0896,0.0896,0.0896,0.1408,0.0896,0.0896,0.0896,0.1408,0.1296,0.1408,0.0896,0.0896,0.0896,0.1408,0.1408,0.0896,0.0896
0.18931,0.087011,0.087011,0.087011,0.14431,0.087011,0.087011,0.087011,0.14431,0.18931,0.087011,0.087011,0.087011,0.14431,0.087011,0.087011,0.087011,0.14431,0.18931,0.087011,0.087011,0.087011,0.14431,0.087011,0.087011,0.087011,0.14431,0.13201,0.14431,0.087011,0.087011,0.087011,0.14431,0.14431,0.087011,0.087011
0.19778,0.084444,0.084444,0.084444,0.14778,0.084444,0.084444,0.084444,0.14778,0.19778,0.084444,0.084444,0.084444,0.14778,0.084444,0.084444,0.084444,0.14778,0.19778,0.084444,0.084444,0.084444,0.14778,0.084444,0.084444,0.084444,0.14778,0.13444,0.14778,0.084444,0.084444,0.084444,0.14778,0.14778,0.084444,0.084444
0.2062,0.0819,0.0819,0.0819,0.1512,0.0819,0.0819,0.0819,0.1512,0.2062,0.0819,0.0819,0.0819,0.1512,0.0819,0.0819,0.0819,0.1512,0.2062,0.0819,0.0819,0.0819,0.1512,0.0819,0.0819,0.0819,0.1512,0.1369,0.1512,0.0819,0.0819,0.0819,0.1512,0.1512,0.0819,0.0819
0.21458,0.079378,0.079378,0.079378,0.15458,0.079378,0.079378,0.079378,0.15458,0.21458,0.079378,0.079378,0.079378,0.15458,0.079378,0.079378,0.079378,0.15458,0.21458,0.079378,0.079378,0.079378,0.15458,0.079378,0.079378,0.079378,0.15458,0.13938,0.15458,0.079378,0.079378,0.079378,0.15458,0.15458,0.079378,0.079378
0.22291,0.076878,0.076878,0.076878,0.15791,0.076878,0.076878,0.076878,0.15791,0.22291,0.076878,0.076878,0.076878,0.15791,0.076878,0.076878,0.076878,0.15791,0.22291,0.076878,0.076878,0.076878,0.15791,0.076878,0.076878,0.076878,0.15791,0.14188,0.15791,0.076878,0.076878,0.076878,0.15791,0.15791,0.076878,0.076878
0.2312,0.0744,0.0744,0.0744,0.1612,0.0744,0.0744,0.0744,0.1612,0.2312,0.0744,0.0744,0.0744,0.1612,0.0744,0.0744,0.0744,0.1612,0.2312,0.0744,0.0744,0.0744,0.1612,0.0744,0.0744,0.0744,0.1612,0.1444,0.1612,0.0744,0.0744,0.0744,0.1612,0.1612,0.0744,0.0744
