0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.255,0.245,0.245,0.255,0.255,0.245,0.245,0.255,0.255,0.245,0.245,0.255,0.245,0.255,0.255,0.245
0.26,0.24,0.24,0.26,0.26,0.24,0.24,0.26,0.26,0.24,0.24,0.26,0.24,0.26,0.26,0.24
0.265,0.235,0.235,0.265,0.265,0.235,0.235,0.265,0.265,0.235,0.235,0.265,0.235,0.265,0.265,0.235
0.27,0.23,0.23,0.27,0.27,0.23,0.23,0.27,0.27,0.23,0.23,0.27,0.23,0.27,0.27,0.23
0.275,0.225,0.225,0.275,0.275,0.225,0.225,0.275,0.275,0.225,0.225,0.275,0.225,0.275,0.275,0.225
0.28,0.22,0.22,0.28,0.28,0.22,0.22,0.28,0.28,0.22,0.22,0.28,0.22,0.28,0.28,0.22
0.285,0.215,0.215,0.285,0.285,0.215,0.215,0.285,0.285,0.215,0.215,0.285,0.215,0.285,0.285,0.215
0.29,0.21,0.21,0.29,0.29,0.21,0.21,0.29,0.29,0.21,0.21,0.29,0.21,0.29,0.29,0.21
0.295,0.205,0.205,0.295,0.295,0.205,0.205,0.295,0.295,0.205,0.205,0.295,0.205,0.295,0.295,0.205
0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.2
0.305,0.195,0.195,0.305,0.305,0.195,0.195,0.305,0.305,0.195,0.195,0.305,0.195,0.305,0.305,0.195
0.31,0.19,0.19,0.31,0.31,0.19,0.19,0.31,0.31,0.19,0.19,0.31,0.19,0.31,0.31,0.19
0.315,0.185,0.185,0.315,0.315,0.185,0.185,0.315,0.315,0.185,0.185,0.315,0.185,0.315,0.315,0.185
0.32,0.18,0.18,0.32,0.32,0.18,0.18,0.32,0.32,0.18,0.18,0.32,0.18,0.32,0.32,0.18
0.325,0.175,0.175,0.325,0.325,0.175,0.175,0.325,0.325,0.175,0.175,0.325,0.175,0.325,0.325,0.175
0.33,0.17,0.17,0.33,0.33,0.17,0.17,0.33,0.33,0.17,0.17,0.33,0.17,0.33,0.33,0.17
0.335,0.165,0.165,0.335,0.335,0.165,0.165,0.335,0.335,0.165,0.165,0.335,0.165,0.335,0.335,0.165
0.34,0.16,0.16,0.34,0.34,0.16,0.16,0.34,0.34,0.16,0.16,0.34,0.16,0.34,0.34,0.16
0.345,0.155,0.155,0.345,0.345,0.155,0.155,0.345,0.345,0.155,0.155,0.345,0.155,0.345,0.345,0.155
0.35,0.15,0.15,0.35,0.35,0.15,0.15,0.35,0.35,0.15,0.15,0.35,0.15,0.35,0.35,0.15
0.355,0.145,0.145,0.355,0.355,0.145,0.145,0.355,0.355,0.145,0.145,0.355,0.145,0.355,0.355,0.145
0.36,0.14,0.14,0.36,0.36,0.14,0.14,0.36,0.36,0.14,0.14,0.36,0.14,0.36,0.36,0.14
0.365,0.135,0.135,0.365,0.365,0.135,0.135,0.365,0.365,0.135,0.135,0.365,0.135,0.365,0.365,0.135
0.37,0.13,0.13,0.37,0.37,0.13,0.13,0.37,0.37,0.13,0.13,0.37,0.13,0.37,0.37,0.13
0.375,0.125,0.125,0.375,0.375,0.125,0.125,0.375,0.375,0.125,0.125,0.375,0.125,0.375,0.375,0.125
0.38,0.12,0.12,0.38,0.38,0.12,0.12,0.38,0.38,0.12,0.12,0.38,0.12,0.38,0.38,0.12
0.385,0.115,0.115,0.385,0.385,0.115,0.115,0.385,0.385,0.115,0.115,0.385,0.115,0.385,0.385,0.115
0.39,0.11,0.11,0.39,0.39,0.11,0.11,0.39,0.39,0.11,0.11,0.39,0.11,0.39,0.39,0.11
0.395,0.105,0.105,0.395,0.395,0.105,0.105,0.395,0.395,0.105,0.105,0.395,0.105,0.395,0.395,0.105
0.4,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.1,0.4,0.4,0.1
0.405,0.095,0.095,0.405,0.405,0.095,0.095,0.405,0.405,0.095,0.095,0.405,0.095,0.405,0.405,0.095
0.41,0.09,0.09,0.41,0.41,0.09,0.09,0.41,0.41,0.09,0.09,0.41,0.09,0.41,0.41,0.09
0.415,0.085,0.085,0.415,0.415,0.085,0.085,0.415,0.415,0.085,0.085,0.415,0.085,0.415,0.415,0.085
0.42,0.08,0.08,0.42,0.42,0.08,0.08,0.42,0.42,0.08,0.08,0.42,0.08,0.42,0.42,0.08
0.425,0.075,0.075,0.425,0.425,0.075,0.075,0.425,0.425,0.075,0.075,0.425,0.075,0.425,0.425,0.075
0.43,0.07,0.07,0.43,0.43,0.07,0.07,0.43,0.43,0.07,0.07,0.43,0.07,0.43,0.43,0.07
0.435,0.065,0.065,0.435,0.435,0.065,0.065,0.435,0.435,0.065,0.065,0.435,0.065,0.435,0.435,0.065
0.44,0.06,0.06,0.44,0.44,0.06,0.06,0.44,0.44,0.06,0.06,0.44,0.06,0.44,0.44,0.06
0.445,0.055,0.055,0.445,0.445,0.055,0.055,0.445,0.445,0.055,0.055,0.445,0.055,0.445,0.445,0.055
0.45,0.05,0.05,0.45,0.45,0.05,0.05,0.45,0.45,0.05,0.05,0.45,0.05,0.45,0.45,0.05
0.455,0.045,0.045,0.455,0.455,0.045,0.045,0.455,0.455,0.045,0.045,0.455,0.045,0.455,0.455,0.045
0.46,0.04,0.04,0.46,0.46,0.04,0.04,0.46,0.46,0.04,0.04,0.46,0.04,0.46,0.46,0.04
