-0,0.24438
-0,0.24125
-0,0.24107
-0,0.23244
-0,0.24059
-0,0.28032
-0,0.2942
-0,0.355
-0,0.4
-0,0.41986
-0,0.41941
-0,0.43919
-0,0.44223
-0,0.58573
-0,0.61706
-0,0.65344
-0,0.70367
-0,0.75771
-0,0.79196
-0,0.80498
-0,0.7927
-0,0.80422
-0,0.81941
-0,0.78563
-0,0.96479
1.875e-06,5.6561
0.010402,0.94844
0.0216,0.9024
0.033602,0.86
0.046396,0.84014
0.06,0.71976
0.074402,0.66496
0.089602,0.61598
0.1056,0.56565
0.1224,0.5485
0.14,0.50233
0.1584,0.51145
0.1776,0.47144
0.19759,0.45547
0.21841,0.45009
0.24,0.43791
0.26241,0.42623
0.28559,0.4153
0.3096,0.4036
0.3344,0.39282
0.36,0.37006
0.3864,0.36062
0.41359,0.35315
0.44161,0.35663
0.4704,0.36451
0.50001,0.37025
